GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
"Snake River Wild Spring_Summer Chinook",2022,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",14270,.70,.59,.82,.74,.63,.87
"Snake River Wild Spring_Summer Chinook",2021,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",15456,.87,.75,1.00,.98,.85,1.12
"Snake River Wild Spring_Summer Chinook",2020,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",15660,1.77,1.58,1.95,1.97,1.78,2.17
"Snake River Wild Spring_Summer Chinook",2019,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",11219,.88,.74,1.02,.97,.82,1.12
"Snake River Wild Spring_Summer Chinook",2018,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",18977,.54,.46,.63,.61,.51,.70
"Snake River Wild Spring_Summer Chinook",2017,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",18201,.19,.14,.24,.21,.16,.26
"Snake River Wild Spring_Summer Chinook",2016,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",16647,.44,.36,.52,.49,.40,.57
"Snake River Wild Spring_Summer Chinook",2015,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",12352,.28,.20,.36,.35,.26,.43
"Snake River Wild Spring_Summer Chinook",2014,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",21434,.61,.53,.70,.69,.60,.79
"Snake River Wild Spring_Summer Chinook",2013,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",19033,1.54,1.40,1.70,1.70,1.56,1.87
"Snake River Wild Spring_Summer Chinook",2012,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",21559,1.48,1.35,1.63,1.84,1.70,1.99
"Snake River Wild Spring_Summer Chinook",2011,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",23327,.42,.35,.49,.45,.38,.53
"Snake River Wild Spring_Summer Chinook",2010,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",26604,.92,.83,1.02,1.16,1.05,1.26
"Snake River Wild Spring_Summer Chinook",2009,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",18775,1.93,1.76,2.10,2.09,1.92,2.26
"Snake River Wild Spring_Summer Chinook",2008,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",18531,3.58,3.37,3.81,4.14,3.92,4.39
"Snake River Wild Spring_Summer Chinook",2007,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",14953,1.16,1.01,1.29,1.27,1.11,1.41
"Snake River Wild Spring_Summer Chinook",2006,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",15283,.84,.72,.95,.89,.76,1.01
"Snake River Wild Spring_Summer Chinook",2005,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",35215,.29,.23,.35,.30,.24,.37
"Snake River Wild Spring_Summer Chinook",2004,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",32542,.68,.57,.80,.69,.58,.81
"Snake River Wild Spring_Summer Chinook",2003,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",31082,.35,.27,.43,.35,.27,.43
"Snake River Wild Spring_Summer Chinook",2002,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",23384,1.14,.95,1.34,1.29,1.08,1.51
"Snake River Wild Spring_Summer Chinook",2001,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",22417,1.86,.97,2.88,2.04,1.13,3.13
"Snake River Wild Spring_Summer Chinook",2000,CH,W,SpSu,"Lower Granite Dam to Bonneville Dam",25026,2.59,1.97,3.22,2.69,2.05,3.35
