#Source www.cbr.washington.edu/dart/pni. Methods www.cbr.washington.edu/dart/metadata/pni.
Year,Annual Mean Air Temperature (F) Everett WA,Temperature z-score (mean = 50.977; SD = 1.511),Annual Total Precipitation (in.) Cedar Lake WA,Precipitation z-score (mean = 100.777; SD = 17.229),Snowpack on March 15 (in.) Paradise Ranger Station Mt Rainier WA,Snow z-score (mean = 170.058; SD = 51.566),Annual PNI,Available Environmental Parameters,5-Year Centered Running Average,Version
2024,53.363,1.579,177.000,-0.135,93.590,0.417,0.621,PST,,v3.0
2023,53.117,1.417,167.000,0.059,73.960,1.556,1.011,PST,,v3.0
2022,53.286,1.529,150.000,0.389,88.800,0.695,0.871,PST,0.550,v3.0
2021,52.266,0.853,212.000,-0.813,87.530,0.769,0.269,PST,0.584,v3.0
2020,53.594,1.732,194.000,-0.464,123.640,-1.327,-0.020,PST,0.481,v3.0
2019,52.542,1.036,158.000,0.234,81.800,1.101,0.790,PST,0.335,v3.0
2018,53.713,1.811,167.000,0.059,107.450,-0.387,0.494,PST,0.358,v3.0
2017,52.011,0.685,147.000,0.447,112.920,-0.705,0.142,PST,0.665,v3.0
2016,54.094,2.063,201.000,-0.600,106.320,-0.322,0.380,PST,0.561,v3.0
2015,54.686,2.455,58.000,2.173,102.010,-0.072,1.519,PST,0.531,v3.0
2014,53.428,1.623,151.000,0.370,121.280,-1.190,0.267,PST,0.466,v3.0
2013,51.376,0.264,162.000,0.156,90.090,0.620,0.347,PST,0.280,v3.0
2012,51.462,0.321,204.000,-0.658,104.330,-0.206,-0.181,PST,0.072,v3.0
2011,49.946,-0.682,202.000,-0.619,106.930,-0.357,-0.553,PST,-0.066,v3.0
2010,52.515,1.018,141.000,0.564,103.350,-0.149,0.477,PST,-0.223,v3.0
2009,47.719,-2.156,154.000,0.311,90.840,0.577,-0.423,PST,-0.090,v3.0
2008,50.587,-0.258,211.000,-0.794,105.140,-0.253,-0.435,PST,-0.014,v3.0
2007,51.705,0.482,142.000,0.544,93.490,0.423,0.483,PST,0.234,v3.0
2006,52.556,1.045,201.000,-0.600,117.390,-0.964,-0.173,PST,0.474,v3.0
2005,53.125,1.422,34.000,2.639,82.050,1.087,1.716,PST,0.706,v3.0
2004,53.115,1.415,168.000,0.040,85.450,0.890,0.782,PST,0.624,v3.0
2003,53.171,1.452,133.000,0.719,100.700,0.004,0.725,PST,0.828,v3.0
2002,51.689,0.472,224.000,-1.046,87.210,0.787,0.071,PST,0.578,v3.0
2001,51.400,0.280,102.000,1.320,84.530,0.943,0.848,PST,0.287,v3.0
2000,51.552,0.381,187.000,-0.329,77.640,1.343,0.465,PST,0.243,v3.0
1999,51.258,0.186,271.000,-1.958,105.060,-0.249,-0.673,PST,0.141,v3.0
1998,53.500,1.670,166.000,0.079,104.790,-0.233,0.505,PST,0.000,v3.0
1997,52.722,1.155,258.000,-1.705,114.060,-0.771,-0.441,PST,-0.015,v3.0
1996,51.117,0.093,114.000,1.087,113.640,-0.747,0.144,PST,0.295,v3.0
1995,52.463,0.984,167.000,0.059,98.610,0.126,0.390,PST,0.370,v3.0
1994,51.994,0.673,128.000,0.816,81.200,1.136,0.875,PST,0.644,v3.0
1993,51.566,0.390,122.000,0.932,78.000,1.322,0.881,PST,0.712,v3.0
1992,52.014,0.686,119.000,0.990,81.570,1.115,0.930,PST,0.477,v3.0
1991,52.916,1.284,168.000,0.040,98.520,0.131,0.485,PST,0.353,v3.0
1990,50.599,-0.250,186.000,-0.309,131.740,-1.797,-0.785,PST,0.210,v3.0
1989,51.879,0.597,179.000,-0.173,95.000,0.335,0.253,PST,0.172,v3.0
1988,51.092,0.076,130.000,0.777,106.910,-0.356,0.166,PST,0.152,v3.0
1987,51.337,0.238,148.000,0.428,73.890,1.561,0.742,PST,0.413,v3.0
1986,51.365,0.257,114.000,1.087,103.990,-0.186,0.386,PST,0.405,v3.0
